edit_history_tweet_ids,id,text,label
['1597677957006303234'],1597677957006303234,@senadorhumberto Olha aí a foto do senador drácula e o ladrão https://t.co/aAxWQZOHjH,-1
['1597677934755520512'],1597677934755520512,"@EduGiraoOficial Boa tarde Senador, gentileza, informar por qual canal podemos assistir a audiência pública. Queira divulgar em suas redes. Obrigado.",0
['1597677909560373249'],1597677909560373249,"@randolfeap Eita mais vc é ativo quando a esquerda está no poder, está com muita pressa para voltar a corrupção!
Calma ex senador!",-1
['1597677903461785600'],1597677903461785600,@EduGiraoOficial É tarde Senador Girão. Nós NÃO vamos sair da porta dos quartéis. Lá é o único lugar no mundo que quero estar hoje. Vocês abandonaram o Brasil e os brasileiros!! Nunca mais confiaremos em nenhum político que habita esse covil. Só Bolsonaro e as FFAA que nos tira daqui,0
['1597677735224446978'],1597677735224446978,@enzo_nil @reportersalles ROMARIO É SENADOR DEPUTADO É ESSA TROLHA AÍ 🤣🤣🤣 https://t.co/s5d2HJKp0b,-1
['1597677627476946945'],1597677627476946945,Olha com é bonzinho ele gente!!! Pensando nos pobres sempre né senador!!! https://t.co/PcLalhYAwf,-1
['1597677604911616001'],1597677604911616001,"@darioberger 
Senador Vergonha para Santa Catarina.
Assinou a PEC da Gastança; PEC do ROMBO. https://t.co/cO4X7u3lfW",-1
['1597677589983698944'],1597677589983698944,"Randolfe Rodrigues, além de “alugar” o STF agora resolveu acionar também a FIFA contra conservadores https://t.co/ZYNzWpLVAv 
O que esse mequetrefe disfarçado de senador merece?
Total repúdio, em defender um larápio como todos que apoiam o partido do larápio mor! kkk pra ele!",-1
['1597677562649772032'],1597677562649772032,@randolfeap Senador pau no cool!!,-1
['1597677548624056320'],1597677548624056320,@randolfeap Esse senador acha que engana as pessoas. Vocês estão é loteando o governo com corruptos. Só os membros da equipe de transição têm capivara que dá voltas ao mundo.,-1
['1597677511839985665'],1597677511839985665,"@CAndre51 @JanainaDoBrasil Isso, fiquem na porta dos quartéis. Façam esse papel ridículo. Lutem por moinhos de vento e ignorem a verdade. Ignorem que a única coisa que é necessária no país é mudar as leis e normatizar as que tem. Ignorem que Supremo só cumpre leis...mas quem faz é deputado e senador.",-1
