edit_history_tweet_ids,id,text,label
['1597660893541969920'],1597660893541969920,@randolfeap Enquanto isso o Governador do Pará aumentou o ICMS no estado de 17% pra 19% . https://t.co/cOsxnWb9AW,-1
['1597660789145731072'],1597660789145731072,Aprovado projeto de autoria do governador Ronaldo Caiado (UB) cujo objetivo é a doação onerosa de dois imóveis pertencentes ao Estado ao município de Novo América.,1
['1597660716370399232'],1597660716370399232,@lazarorosa25 Cade o governador @ratinho_jr  ?,0
['1597660611194015744'],1597660611194015744,"@C02797772Helder @helderbarbalho @Alepa_com Não tem dinheiro. O governador gastou na campanha presidêncial. Salário e 13° de servidores e o pagamento de fornecedores, todos atrasados desde o mês passado. Não tem dinheiro. O governador roubou demais esse ano.",-1
['1597660533335166976'],1597660533335166976,"@ufanistacut3 Só se conseguirmos anular as eleições gerais, o que eu torço muito que consigamos.
Mas esse Tarchina é um grande erro político. Ele não é quem diz ser e não pode ser o governador desse estado que é chave para a nação.
Temos que derrubar T-U-D-O.",-1
['1597660532039110656'],1597660532039110656,"A terceira crítica do governador ao seu antecessor 
https://t.co/V1uXzVJx9n",0
['1597660410706296832'],1597660410706296832,"@andreporci André, a recomendação de usar máscara vem de todas as entidades importantes de saúde. Se você visse o número de internações disparando, sendo governador de um estado, que medida você tomaria? Eu trabalho em hospital, pare de falar bobagem. Deixa política de lado um pouco.",0
['1597659934069784576'],1597659934069784576,"#BalançoGeralBA
Queremos saber quando o Governo do Estado -BA, vai pagar os precatórios dos servidores públicos em regime REDA que até agora não recebeu? Foi um ato politiqueiro o pagamento de uma determinada parcela? E aí Excelentíssima governador e futuro sec fed Rui Costa?",-1
['1597659921533001730'],1597659921533001730,"POEMA PARA O GADO

O mundo seguiu 
Só você não viu
Ministro e governador 
Se reúnem sem temor
Enquanto isso no quartel reacionário 
O gado toma chuva parecendo otário
Fique forte fique firme se não o PT irá voltar
E o Bananinha sorridente tirando foto no Catar
@Nilsonhandebol https://t.co/45ze8rQ5L9",0
['1597659911114350592'],1597659911114350592,"@andreporci Na Bahia o pessoal reelege um governador comunista e ainda vota em peso em um ladrão analfabeto, o q esperavam?
Aliás, creio q a maioria da população concorda com as insanidades desse ser pois saí tds lobotomizados pela esquerda!",-1
['1597659531206688768'],1597659531206688768,Governador Rodrigo Garcia (PSBD) autorizou também nesta terça-feira (29) a construção de um novo acesso na Estação Paulista https://t.co/RtnQAM2Y86,1
['1597658959464144897'],1597658959464144897,"@tarcisiogdf @jairbolsonaro Governador, pela admiração e torcida que tenho pelo Sr., lhe peço: MUITO CUIDADO COM O PSDB!!",1
['1597658892955439104'],1597658892955439104,"@tarcisiogdf @MInfraestrutura Governador, pelo admiração e torcida que tenho pelo Sr., lhe peço: MUITO CUIDADO COM O PSDB!!",1
['1597658822419808256'],1597658822419808256,"Fofo ver Bolsonaro vencer em SP e fazer seu Ministro Governador do Estado em q juntos boicotaram escandalosamente, atrasaram, inviabilizaram projetos,  por pura picuinha.
Agora eu pergunto: 
Com toda essa sapiência do eleitor, este país tem alguma chance de dar certo? https://t.co/DF9PxjLrdK",-1
['1597658670179188741'],1597658670179188741,Eu tô abismada que ninguém mais está falando do caso de Paraisópolis e do envolvimento do governador eleito em SP...vai ficar por isso mesmo? Nós vamos fingir que nada houve? A imprensa vai ficar aí girando lâmpada e não vai investigar esse caso explícito??,-1
['1597658579586412544'],1597658579586412544,"@BolsonaroSP Por mim também,  não acreditei na vitória do governador de São Paulo e muito menos nas dos senadores e deputados bolsonariano. Se teve fraude, a eleição de 2018 também deve ser anulada.",0
['1597658248739721217'],1597658248739721217,"@AluizioMariana @pavao9111 Não duvido q ele será bom governador, agora idôneo já não creio mais. O q tem haver um governador falando com um ministro do STF? Q tipo de articulação política vai fazer? É do tipo q Lula vem fazendo?",0
['1597658203646722048'],1597658203646722048,@helderbarbalho Valeu governador pelo aumento do ICMS. Vou lembrar disso nas próximas eleições.😡,-1
['1597658073711378432'],1597658073711378432,"@helderbarbalho @cris_csn Só que o governo federal cobriria os 17% retirado do ICMS, passaria pro Estado senhor Governador, como agora vem o desequilíbrio, o estado não perderia ! Explique",-1
['1597658027942739968'],1597658027942739968,"@JCK_22 @BrasinhaNews Kkkkk. É o Flávio Arns, foi filiado ao PT a vida toda, era vice governador pelo PT, só se elegeu por causa do legado da finada tia Zilda. Trocou de partido na passada, pq o PT tava queimado, no PR não ganha nem de vereador mais.",0
['1597658009684955137'],1597658009684955137,@profpaulamarisa Essa é a conclusão da história que começou quando  o Tarcísio assegurou ser importante o passaporte sanitário. Quem é contra a liberdade do cidadão não segue um caminho reto... Este futuro governador nunca me enganou.Mais do mesmo...,-1
['1597657851279052801'],1597657851279052801,"@dorinha_8 "" o governador só abaixa o preço da passagem, que pra casa da cheirosa é mó viajem""",0
['1597657834690211840'],1597657834690211840,"@leitaooffc @monark Cara, tu nem sabe distinguir quando ele fala sobre liberdade expressão e que o mesmo não defende agressão física. O cara que se candidatou para o governador aqui em pernambuco defende fuzilamento dos opositores. Não vejo nenhum diferença de um nazista e um comunista.",0
['1597657762934452225'],1597657762934452225,"Lembrando, nós elegemos os que vetam, e os que votam para derrubar o veto.

Votar para Presidente e Governador, cobrá-los/culpá-los por resultado sem pensar em quem está votando para os demais cargos, é puro analfabetismo político.

https://t.co/F0R3f3yNzd",-1
['1597657653484097536'],1597657653484097536,"Esse lixo do Rui Costa foi o pior governador que a Bahia já teve.

Hipocrita, vingativo, usou o povo pra fazer a politica suja dele. https://t.co/gB8b1PTTz2",-1
['1597657499683131393'],1597657499683131393,@VlogdoLisboa Grande governador.  Isso sim é pelo povo. Tamo juntos,1
['1597657341239123968'],1597657341239123968,"@SigaGazetaBR Esse vagabundo comprou votos nas eleições em Alagoas, distribuiu cestas básicas em todo seu curral eleitoral e vem querer falar em democracia?? Se estivéssemos em. Uma Democracia ele, seu filho, seu laranja atual Governador e bandido, estariam todos na cadeia.",-1
['1597657338906759168'],1597657338906759168,"📉✅A Lei de Diretrizes Orçamentárias (LDO) para o ano fiscal de 2023, tem previsão de R$ 12,8 bilhões. 

Saiba mais📲https://t.co/SR1elqLh2P https://t.co/h4Okq8gvZf",0
['1597657140701061121'],1597657140701061121,"@LeoPirao @Neile26692034 Talvez não. Turistas também serão escravizados pelo governador?
Eu é que não pisarei por lá.",-1
['1597657087513071616'],1597657087513071616,"@GuerreiraLu @brom_elisa @BolsonaroSP Galera vcs não percebem ?
Já ouviram a história do governador Tarcísio no caso da ponte ? 

Procurem saber e entendam que a mídia só mostraria as manifestações se fosse para colocar intriga entre todos os que estão do lado da direita. 

Colocar nós cotra o Edu Bolsonaro! Atenção!",0
['1597657064863854593'],1597657064863854593,@DeputadoFederal @LulaOficial Vão usar o atual governador de bode expiatório e o @EduardoLeite_ quer sair de bonzinho! 👍😉,-1
['1597657045456801793'],1597657045456801793,"@77_frota É um Estado que nos supreende , elege Mourão Senador, Eduardo Leite , governador assumidamente gay, povo conservador , mas faz escolhas pela eficiência.
Mas choca pelo machismo arreigada na sociedade contemporânea quando a questão da violência contra a mulher...",-1
['1597657025898754052'],1597657025898754052,"https://t.co/b5cUk1k0zm Governador sanciona marco regulatório estadual das ferrovias, que vai permitir o desenvolvimento do setor: Após aprovação na Assembleia Legislativa, o governador Reinaldo Azambuja assinou nesta terça-feira… https://t.co/PSfBmEX6n6 https://t.co/l3frz9otUI",1
['1597656808620838912'],1597656808620838912,@valneifils A polícia do Paraná é racista igual o governador @ratinho_jr,-1
['1597656535005790209'],1597656535005790209,"São Paulo foi dada a largada,Líder do partido de Tarcísio quer aprovar aumento salarial nesta semana. Reajuste de 50% na remuneração do governador,secretários e equipes,impacto no Orçamento seria de R$ 1,7 bilhão🚨🇧🇷 Antes inclusive de trabalhar .",1
['1597656389870309379'],1597656389870309379,@MPMG_Oficial @mpsp_oficial Lembrem nosso Governador do Piso salarial das Professoras.,0
['1597656299361402880'],1597656299361402880,"@Diegomsouza2 @pavarini @iasd Não que a Jamaica seja um mau exemplo. Mas a nação de Bob Marley e de uma tal Maria Joana jamais é lembrada como um país que já teve em simultâneo o governador-geral e o primeiro-ministro adventista, chefe de Estado e Governo respectivamente.",0
['1597656298530955265'],1597656298530955265,@sulvinteum E o governador aceita de boa?,0
['1597656192729640960'],1597656192729640960,"outro diante, porque todo o bom governador há de olhar por de trás consirando o passado, &amp; por d’avante consirando o futuro, não pretendendo seu particular interesse, mas o proveito comum a serviço de Deus, tendo sempre nele seus olhos.»",r
['1597656189609074688'],1597656189609074688,"«...para prover a todos, há [o governador] de olhar a ambos os tempos, para que da consiração do passado colha providência para o futuro. Isto quiseram significar os antigos, em pintarem Jano, qu’eles diziam que fora o primeiro rei de Itália, com dous rostros um de trás,",0
['1597656124890628096'],1597656124890628096,"@CarlosBolsonaro Quem é o Governador e quem ainda é Presidente do Brasil??? Carluxo… por favor, seja mais inteligente.",-1
