edit_history_tweet_ids,id,text,topic
['1597437808851181569'],1597437808851181569,"@Iz3Lz @Yago_95fer @direita_pura @PATRlOTAS E quem vota na direita é o que? Enquanto o Bolsonaro e os filhos tão confortáveis ganhando muito dinheiro, indo pra copa e vivendo vida boa vcs vão pra frente de quartel pegar chuva e spray de pimenta. Bolsonaro é comprovadamente corrupto, desde a vida de vereador no RJ",Vereador
['1597437401546522624'],1597437401546522624,@PauloBr87469474 @LUIZPATRIOTA39 Desculpe minha ignorância tem vereador federal?,Vereador
['1597437260571738112'],1597437260571738112,Se um bosta de vereador está ameaçando Generais do @exercitooficial imagina os maiorais o que trão fazer!! https://t.co/1BZO764HhC,Vereador
['1597436832429404160'],1597436832429404160,"@TerraBrasilnot Pergunta ao @randolfeap:

Aquele vereador petista que matou um manifestante ao empurrar em um caminhão estaria enquadrado nessa lei?
E aquele outro que jogou futebol com uma réplica da cabeça do presidente, tb estaria incluído?",Vereador
['1597436590997266432'],1597436590997266432,"https://t.co/tcSwUj11pP Esse idiota nem falar direito sabe, como um bosta desse conseguiu ser vereador. Devia ser preso por ameaçar as Forças Armadas.",Vereador
['1597428272387657728'],1597428272387657728,"'Véio da Havan' 😂 ! O suplente de vereador do piçóu que queimou a bandeira de Israel chamou o Presidente de “idiota inútil”! Há somente dois caminhos para evitar contingenciamento de gastos: ou imprime dinheiro e gera inflação, ou comete-se crime de responsabilidade fiscal?",Vereador
['1597427351474049025'],1597427351474049025,"@LucianoGiusepp4 Esse criticando o médico é ex presidiário, envolvido em diversas denúncias de corrupção. Procurem saber do assassinato do vereador Marcelino Chiarello que denunciou esse lixo por desvio de verba de merenda escolar de CRIANÇAS. Hoje usa Bolsonaro pra se manter na política. 🤮",Vereador
['1597425598535606274'],1597425598535606274,"@lellybellepi Esse é João Rodrigues atual prefeito de Chapecó ex presidário condenado 5 anos por corrupção, também é o famoso deputado do vídeo pornô, envolvido no famoso caso do assassinato do vereador Marcelino Chiarello. Hoje usa o nome de Bolsonaro pra se manter na política. 🤮",Vereador
['1597424841724145664'],1597424841724145664,@DanielaBrasil01 @kimpaim O povo de Guaíra já se manifestou e vai fazer uma visitinha e esse vereador de pacotilha.,Vereador
['1597424677454237696'],1597424677454237696,"@LucianoGiusepp4 Esse é João Rodrigues atual prefeito de Chapecó ex presidário condenado 5 anos por corrupção, também é o famoso deputado do vídeo pornô, envolvido no famoso caso do assassinato do vereador Marcelino Chiarello. Hoje usa o nome de Bolsonaro pra se manter na política. 🤮",Vereador
['1597423922395611138'],1597423922395611138,"O da direita malha na minha academia, o ângulo que não ajudou ele, tadinho.

Apelidei ele na minha mente de ""vereador"", porque ele chega cumprimentando todo mundo com um sorrisão de Mentex.

Acho fofo. Simpático. https://t.co/j6U0NzvLsL",Vereador
['1597423801825894400'],1597423801825894400,"Até quando ? 
Segundo o vereador Eder Borges (PP-PR), contratar uma empresa para monitorar as redes sociais faz o país “caminhar a passos largos para uma cleptocracia e para um Estado de rigoroso controle social, a exemplo do que vemos em qualquer ditadura do mundo” https://t.co/h6hVtktHYX",Vereador
['1597423735681986560'],1597423735681986560,@brom_elisa Vereador Fábio Florentino de Toritama-PE,Vereador
['1597423364301524992'],1597423364301524992,O vereador de Curitiba @rodrigomarcial_ tem muito potencial (até rimou),Vereador
['1597422698678083584'],1597422698678083584,"@nadanovonofront Vereador federal, presidente zumbi e essa agora. Trabalho não é o forte dessa família.",Vereador
