edit_history_tweet_ids,id,text,topic
['1597431937601130496'],1597431937601130496,"Silas Malafaia em um Resort no ""NORDESTE""

Ricardo Salles curtindo a natureza em Fernando de Noronha

Eduardo Bolsonaro (Bananinha) na Copa do Catar

E OS ELEITORES DELES TOMANDO CHUVA NA PORTA DO QUARTEL 😂😂😂😂😂😂😂",Ricardo Salles
['1597430309964120065'],1597430309964120065,@viniciushbranco @BolsonaroSP @PastorMalafaia E o Ricardo Salles em Fernando de Noronha kkkk,Ricardo Salles
['1597428141295022080'],1597428141295022080,"@fcomario @brom_elisa Sobre meio ambiente, Ricardo salles pelo que vi foi absolvido dos crimes mas se tem algo à mais vai ter que esperar agora pq ele terá foro privilegiado",Ricardo Salles
['1597427045126262789'],1597427045126262789,"@andrefernm Quem estimula atos terroristas no Brasil:
- Malafaia num resort em Pernambuco;
- Ricardo Salles aproveitando as praias de Fernando de Noronha;
- Eduardo Bolsonaro curtindo jogo no Catar;

E o ""patriota"" de araque tomando chuva na porta de quartel enquanto comete crime. 🤡",Ricardo Salles
['1597427001736171520'],1597427001736171520,"@andrefernm Quem estimula atos terroristas no Brasil:
- Malafaia num resort em Pernambuco;
- Ricardo Salles aproveitando as praias de Fernando de Noronha;
- Eduardo Bolsonaro curtindo jogo no Catar;

E o ""patriota"" de araque tomando chuva na porta de quartel enquanto comete crime. 🤡🤡",Ricardo Salles
['1597426906596773889'],1597426906596773889,"@Rconstantino Quem estimula atos terroristas no Brasil:
- Malafaia num resort em Pernambuco;
- Ricardo Salles aproveitando as praias de Fernando de Noronha;
- Eduardo Bolsonaro curtindo jogo no Catar;

E o ""patriota"" de araque tomando chuva na porta de quartel enquanto comete crime. 🤡",Ricardo Salles
['1597426853584961537'],1597426853584961537,"@Rconstantino Quem estimula atos terroristas no Brasil:
- Malafaia num resort em Pernambuco;
- Ricardo Salles aproveitando as praias de Fernando de Noronha;
- Eduardo Bolsonaro curtindo jogo no Catar;

E o ""patriota"" de araque tomando chuva na porta de quartel enquanto comete crime. 🤡🤡",Ricardo Salles
['1597426583501168641'],1597426583501168641,"@Jouberth19 Quem estimula atos terroristas no Brasil:
- Malafaia num resort em Pernambuco;
- Ricardo Salles aproveitando as praias de Fernando de Noronha;
- Eduardo Bolsonaro curtindo jogo no Catar;

E o ""patriota"" de araque tomando chuva na porta de quartel enquanto comete crime. 🤡🤡",Ricardo Salles
['1597426497249488898'],1597426497249488898,"@PATRlOTAS Quem estimula atos terroristas no Brasil:
- Malafaia num resort em Pernambuco;
- Ricardo Salles aproveitando as praias de Fernando de Noronha;
- Eduardo Bolsonaro curtindo jogo no Catar;

E o ""patriota"" de araque tomando chuva na porta de quartel enquanto comete crime. 🤡",Ricardo Salles
['1597426395038171137'],1597426395038171137,"@PATRlOTAS Quem estimula atos terroristas no Brasil:
- Malafaia num resort em Pernambuco;
- Ricardo Salles aproveitando as praias de Fernando de Noronha;
- Eduardo Bolsonaro curtindo jogo no Catar;

E o ""patriota"" de araque tomando chuva na porta de quartel enquanto comete crime. 🤡🤡",Ricardo Salles
['1597425615648731136'],1597425615648731136,"O Salafraia está em Porto de Galinhas.
Ricardo Salles está em Fernando de Noronha.
Eduardo 🍌 está no Qatar.

E o gado? Sendo feito de besta na frente dos quartéis nos brindado com gargalhadas e memes.",Ricardo Salles
['1597420405106827266'],1597420405106827266,"@Savagefiction Pior que tudo isso foi saber que o Ricardo Salles foi para Fernando de Noronha. 
Medo dele incendiar tudo!",Ricardo Salles
['1597419451582124032'],1597419451582124032,"@desmentindobozo Quem estimula atos terroristas no Brasil:
- Malafaia num resort em Pernambuco;
- Ricardo Salles aproveitando as praias de Fernando de Noronha;
- Eduardo Bolsonaro curtindo jogo no Catar;

E o ""patriota"" de araque tomando chuva na porta de quartel enquanto comete crime. 🤡🤡 https://t.co/dWyAAov1MU",Ricardo Salles
['1597419422242975745'],1597419422242975745,"@delucca Ricardo Salles em Fernando de Noronha, naooooo! Tirem esse homem de lá urgente",Ricardo Salles
['1597419371801899008'],1597419371801899008,"@jairmearrependi Quem estimula atos terroristas no Brasil:
- Malafaia num resort em Pernambuco;
- Ricardo Salles aproveitando as praias de Fernando de Noronha;
- Eduardo Bolsonaro curtindo jogo no Catar;

E o ""patriota"" de araque tomando chuva na porta de quartel enquanto comete crime. 🤡🤡 https://t.co/FrWuYjBDn1",Ricardo Salles
['1597419154289856512'],1597419154289856512,"@da_museu Quem estimula atos terroristas no Brasil:
- Malafaia num resort em Pernambuco;
- Ricardo Salles aproveitando as praias de Fernando de Noronha;
- Eduardo Bolsonaro curtindo jogo no Catar;

E o ""patriota"" de araque tomando chuva na porta de quartel enquanto comete crime. 🤡🤡 https://t.co/lXCBN8bHZT",Ricardo Salles
['1597418878661193728'],1597418878661193728,"@Boscardin Quem estimula atos terroristas no Brasil:
- Malafaia num resort em Pernambuco;
- Ricardo Salles aproveitando as praias de Fernando de Noronha;
- Eduardo Bolsonaro curtindo jogo no Catar;

E o ""patriota"" de araque tomando chuva na porta de quartel enquanto comete crime. 🤡🤡 https://t.co/YJHQ7QFQ9R",Ricardo Salles
['1597416646422851584'],1597416646422851584,"@delucca Nem vergonha na cara tem
Silas Malafaia gastando dízimos dos fiéis 
Ricardo Salles gastando o roubo do desmatamento 
Eduardo Bolsonaro gastando roubo das rachaduras
E os Patriotas...",Ricardo Salles
['1597408622103113728'],1597408622103113728,"Em 2018 votei no Sanderson para deputado federal e olha que exemplo de parlamentar temos. O RS tem um representante de verdade.

Aqui em SP lá fiz campanha e votei no Ricardo Salles e espero que o deputado seja também destaque.",Ricardo Salles
['1597408096900780032'],1597408096900780032,@_lsmaia KKKKKKKKK Ê RAPA VAI TE CATAR RICARDO SALLES,Ricardo Salles
['1597404788249198593'],1597404788249198593,@carlaSkica @marilizpj Ricardo Salles em Fernando de Noronha kkkk,Ricardo Salles
['1597398325514637313'],1597398325514637313,@OGloboPolitica Ricardo Salles em Fernando de Noronha. https://t.co/fPG0BvpY3R,Ricardo Salles
['1597398199312199680'],1597398199312199680,"@NascimentoKely1 @OGloboPolitica Enquanto os patriOtarios ficam na porta dos quartéis. Malafaia, Ricardo Salles e Dudu Bananinha fi curtindo a vida.

PatriOtarios https://t.co/dxHgWxi7QZ",Ricardo Salles
['1597391984645345281'],1597391984645345281,"Vc sabia? Bolsonaro disse: 'Se porventura isso [denúncia de corrupção] ocorrer nós tomaremos as medidas cabíveis.'. Porém o min. do turismo é envolvido com candidaturas laranja e Ricardo Salles é suspeito de enriquecimento ilícito 
 https://t.co/11bef8FAzN",Ricardo Salles
