edit_history_tweet_ids,id,text,label
['1597341546617372673'],1597341546617372673,@HDitadura @TiaAbigail2 Perseguição Política!,-1
['1597341492825444352'],1597341492825444352,TSE contrata empresa para monitorar redes sociais https://t.co/Or17WKtRnq,0
['1597341475896893442'],1597341475896893442,"Quero muito que o próximo governo Lula faça logo aquilo que já foi feito antes e volte a legitimar a Palestina como um estado, e mais: um estado amigo. Que luta todos os dias contra a política terrorista de Israel/EUA. Viva a Palestina! https://t.co/DnewCu8t1g",1
['1597341466602659842'],1597341466602659842,"Eu detesto a focinheira.

Acho uma forma de escravidão.

A ANVISA está agindo ilegalmente, pois não estamos mais em pânicodemia.

Vocês viram o que o Partido Comunista está fazendo com as pessoas em nome da política C@vd zero? O pau tá quebrando lá. https://t.co/Lo0HbToH1S",-1
['1597341457571930113'],1597341457571930113,"@PauloMartins10 Porem no momento nenhum dos ouvidores nos representam. Representam a velha politica de toma la da ca. Inercia total de ambos. Paxecu entao, sem comentarios.",-1
['1597341428908457984'],1597341428908457984,"@BolsonaroSP nunca mais você me engana falastrão
Seu mandato vai acabar uma hora vergonha do Brasil você é mas do mesmo dentro da política tupiniquim",-1
['1597341410784866304'],1597341410784866304,"@ManuelaDavila Pois é, sendo que vc morreu só na política.",-1
['1597341402165567488'],1597341402165567488,@forumpandlr A teoria da Avril Lavigne versão política brasileira,-1
['1597341394921984001'],1597341394921984001,"@carmelonetobr Desde a década de 80 viraram a vida política e pessoal do Lula do avesso e nunca encontraram nada

25 juízes que representa 190 paises (ONU) lendo o processo da vaza jato concluiu suspeição LAW FARE

quem é você mesmo?

Apenas um bolsonarista PAPAGAIO https://t.co/aE3aBGj08w",-1
['1597341382741753856'],1597341382741753856,Manifestantes seguem descomprimido decisão do STF. BM já foi 8 vezes ao local. @gzhdigital https://t.co/0o8C7lpizf,0
['1597341379495350272'],1597341379495350272,"opção política é individual, se o cara vota no bozo quero q se foda, quero ver ele fazendo gol pro Brasil prr",0
['1597341379134640128'],1597341379134640128,@MarchettiNiara Através da política não mudaremos nada nesse país,-1
['1597341374902591488'],1597341374902591488,"@JoaquinTeixeira Pior neh... A situação está a esse nível, estão colocando política onde não se deve, respeita -se um lado porém não respeita-se o outro e assim vai, agressão de direita, agressão de esquerda e assim vai indo o país abaixo nível... A piada ficou séria e a política virou piada!",-1
['1597341374722248704'],1597341374722248704,"os gays falaram tanto de política este ano, cancelaram tanta gente. Mas depois estão a apoiar o mundial can u make a little sense?",-1
['1597341365138231298'],1597341365138231298,Leia a Carta Política da @RNPBRASIL para a equipe de Transição https://t.co/rghWl9Clk6 https://t.co/UUIqHwWGlO,0
['1597341342874898433'],1597341342874898433,@veronikapistore Ainda com política vão se fuder geral,-1
['1597341327058178048'],1597341327058178048,"@sbarrosofelix Feito! Esse bandido verme das fake news, a escória da política!",-1
['1597341312981774336'],1597341312981774336,"@MarcosP53614557 @Rconstantino @LeilaneNeubarth Não faz jornalismo, faz militância política bolsonarista aloprada",-1
['1597341307688849408'],1597341307688849408,"não é questão de ser “chupa bola do neymar” é questão de saber diferenciar política de futebol, é questão de saber respeitar e não fazer com outro aquilo que você não gostaria que fizessem com você, vocês não dizem que todos somos humanos e temos sentimentos?",0
