edit_history_tweet_ids,id,text,topic
['1597437893639016448'],1597437893639016448,"O ex-presidente da Câmara Rodrigo Maia (PSDB-RJ) pediu à Polícia Civil da Bahia que investigue o casal bolsonarista que o hostilizou no Tivoli Ecoresort, localizado na Praia do Forte, litoral norte. O deputado processa os meliantes por injúria e difamação. Total solidariedade",Deputado
['1597437794779279360'],1597437794779279360,@MeViaje @KriskaCarvalho @AndreJanonesAdv Ele é deputado ! Devia estar trabalhando hj… vai passar pano pra isso?,Deputado
['1597437791105089536'],1597437791105089536,"Pra ficar melhor faltou dizer: “o deputado, inclusive, desafiou as leis da física pois marcou presença no trabalho enquanto estava no Qatar, o que configura crime”. https://t.co/csGcoPZ82M",Deputado
['1597437785262022656'],1597437785262022656,"@camaradeputados Oi,estou em Doha,na Copa, e encontrei essa figura , ja tinha encontrado em Boca Raton/Florida semana passada … quantos meses tem de recesso?  Vcs sabem me dizer o nome desse deputado? https://t.co/pVodqiGHcd",Deputado
['1597437393971609602'],1597437393971609602,"@bibonunes1 Problema grande Deputado
Sao os demais 512
Com vencimentos em dia...
O que fazer?",Deputado
['1597436564711174144'],1597436564711174144,"@oficialveeve Vocês dão ibope para este idiota, descomprometido com as normas que regem a boa conduta de um Advogado e deputado!",Deputado
['1597436137622056960'],1597436137622056960,@senadorhumberto Assim como vcs vão ter aturar Lula durante 4 anos. Vcs bolsominions são bastante hilários Bolsonaro se elegeu não sei quantas vezes como deputado federal e ninguém questionou as urnas eletrônicas. Foi eleito em 2018 com as essas urnas e agora vcs questionam.,Deputado
['1597436060656553984'],1597436060656553984,@MBLivre Qualquer deputado ou senador qse atrever ir no quartel vai ser preso e Xandão da um jeito de cassa-lo,Deputado
['1597435939160461312'],1597435939160461312,"@marcoss40644474 @P_droMenezes vc tá viajando cara, eles mandaram a lei com a intenção única de mostrar algum serviço para as pessoas que estavam protestando, só que o tiro saiu pela culatra e, por um acaso, um maluco resolveu delatar um esquema de um deputado que acabou revelando toda a corrupção do governo",Deputado
['1597435562025046016'],1597435562025046016,"@MauricioCostaRS A roupa suja é o Dudu bananinha. Impostor, útil, deputag. A cada dia que passa fica nítido que sempre será um deputado de baixo clero.",Deputado
['1597435557860499458'],1597435557860499458,"@Debora_D_Diniz Precisou um deputado eleito, filho do presidente da República ir pro Catar, pra vcs noticiarem as manifestações em frente aos quartéis. Dessa vez o tiro saiu pela culatra, só posso dizer Obgd por noticiarem 😂😂👏👏👏",Deputado
['1597435295771029504'],1597435295771029504,"@PATRlOTAS E o sr deputado Eduardo Bolsonaro curtindo a copa do mundo ao invés de estar ao lado do seu povo q o elegeu, cuidado pois esse pode ser seu último mandato no cargo eletivo. O povo não é besta e o mundo todo está de olho no q está acontecendo no Brasil...",Deputado
['1597435009966944257'],1597435009966944257,"@JunioSSilva @Daren_Akanni @naoanistia @patsuburbana @UOLNoticias Com certeza! O deputado federal q eu voto, acompanho constantemente! Assim da pra ter argumentos para apoiar! Penso q esse acesso a informação sempre esteja disponível a todos nós!",Deputado
['1597434888730595328'],1597434888730595328,@DeputadoFederal Conte a verdade! Esqueci! Falar a verdade não é com vcs! Ele cortou verbas não obrigatórias! Vc não sabe o que é isso né? Analfabeto do caralho! 50 anos como deputado e falando bosta!,Deputado
['1597434568512274432'],1597434568512274432,"É este o deputado Danones?
Kkkkk será mesmo ele? https://t.co/3GYfmBQIbn",Deputado
['1597434432407109632'],1597434432407109632,"@rosange51146264 @andreporci Se um deputado da República não está preocupado, por que nós devemos? 
A vida continua para o Dudu, faça o mesmo. https://t.co/Dnibqv0zPC",Deputado
